TERRITORIO,COD_MUN,TIME_PERIOD,TIME_PERIOD_CODE,MEDIDAS,MEDIDAS_CODE,OBS_VALUE,NOMBRE,ISLA,valor_referencia
Valleseco,35032,2022,2022,Pensiones,PENSIONES,23.8,Valleseco,Gran Canaria,56.9
Valleseco,35032,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.4,Valleseco,Gran Canaria,56.9
Vega de San Mateo,35033,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,59.8,Vega de San Mateo,Gran Canaria,59.8
Vega de San Mateo,35033,2022,2022,Otros ingresos,OTROS_INGRESOS,12.4,Vega de San Mateo,Gran Canaria,59.8
Vega de San Mateo,35033,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,5.9,Vega de San Mateo,Gran Canaria,59.8
Vega de San Mateo,35033,2022,2022,Pensiones,PENSIONES,19.5,Vega de San Mateo,Gran Canaria,59.8
Vega de San Mateo,35033,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.4,Vega de San Mateo,Gran Canaria,59.8
Adeje,38001,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,62.7,Adeje,Tenerife,62.7
Adeje,38001,2022,2022,Otros ingresos,OTROS_INGRESOS,20.2,Adeje,Tenerife,62.7
Adeje,38001,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,2.8,Adeje,Tenerife,62.7
Adeje,38001,2022,2022,Pensiones,PENSIONES,11.7,Adeje,Tenerife,62.7
Adeje,38001,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.6,Adeje,Tenerife,62.7
Arafo,38004,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,63.0,Arafo,Tenerife,63.0
Arafo,38004,2022,2022,Otros ingresos,OTROS_INGRESOS,10.6,Arafo,Tenerife,63.0
Arafo,38004,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,3.9,Arafo,Tenerife,63.0
Arafo,38004,2022,2022,Pensiones,PENSIONES,20.1,Arafo,Tenerife,63.0
Arafo,38004,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.5,Arafo,Tenerife,63.0
Arico,38005,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,63.0,Arico,Tenerife,63.0
Arico,38005,2022,2022,Otros ingresos,OTROS_INGRESOS,9.9,Arico,Tenerife,63.0
Arico,38005,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,3.8,Arico,Tenerife,63.0
Arico,38005,2022,2022,Pensiones,PENSIONES,20.0,Arico,Tenerife,63.0
Arico,38005,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.4,Arico,Tenerife,63.0
Arona,38006,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,62.5,Arona,Tenerife,62.5
Arona,38006,2022,2022,Otros ingresos,OTROS_INGRESOS,15.5,Arona,Tenerife,62.5
Arona,38006,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,3.8,Arona,Tenerife,62.5
Arona,38006,2022,2022,Pensiones,PENSIONES,15.0,Arona,Tenerife,62.5
Arona,38006,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.2,Arona,Tenerife,62.5
Buenavista del Norte,38010,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,51.0,Buenavista del Norte,Tenerife,51.0
Buenavista del Norte,38010,2022,2022,Otros ingresos,OTROS_INGRESOS,15.0,Buenavista del Norte,Tenerife,51.0
Buenavista del Norte,38010,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,5.1,Buenavista del Norte,Tenerife,51.0
Buenavista del Norte,38010,2022,2022,Pensiones,PENSIONES,25.2,Buenavista del Norte,Tenerife,51.0
Buenavista del Norte,38010,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.6,Buenavista del Norte,Tenerife,51.0
Candelaria,38011,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,64.6,Candelaria,Tenerife,64.6
Candelaria,38011,2022,2022,Otros ingresos,OTROS_INGRESOS,11.7,Candelaria,Tenerife,64.6
Candelaria,38011,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,3.9,Candelaria,Tenerife,64.6
Candelaria,38011,2022,2022,Pensiones,PENSIONES,17.9,Candelaria,Tenerife,64.6
Candelaria,38011,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.0,Candelaria,Tenerife,64.6
Fasnia,38012,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,58.9,Fasnia,Tenerife,58.9
Fasnia,38012,2022,2022,Otros ingresos,OTROS_INGRESOS,10.3,Fasnia,Tenerife,58.9
Fasnia,38012,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.5,Fasnia,Tenerife,58.9
Fasnia,38012,2022,2022,Pensiones,PENSIONES,23.5,Fasnia,Tenerife,58.9
Fasnia,38012,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,Fasnia,Tenerife,58.9
Garachico,38015,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,54.0,Garachico,Tenerife,54.0
Garachico,38015,2022,2022,Otros ingresos,OTROS_INGRESOS,13.9,Garachico,Tenerife,54.0
Garachico,38015,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.7,Garachico,Tenerife,54.0
Garachico,38015,2022,2022,Pensiones,PENSIONES,24.6,Garachico,Tenerife,54.0
Garachico,38015,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,Garachico,Tenerife,54.0
Granadilla de Abona,38017,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,67.5,Granadilla de Abona,Tenerife,67.5
Granadilla de Abona,38017,2022,2022,Otros ingresos,OTROS_INGRESOS,12.4,Granadilla de Abona,Tenerife,67.5
Granadilla de Abona,38017,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,3.9,Granadilla de Abona,Tenerife,67.5
Granadilla de Abona,38017,2022,2022,Pensiones,PENSIONES,12.8,Granadilla de Abona,Tenerife,67.5
Granadilla de Abona,38017,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.4,Granadilla de Abona,Tenerife,67.5
La Guancha,38018,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,58.3,"Guancha, La",Tenerife,58.3
La Guancha,38018,2022,2022,Otros ingresos,OTROS_INGRESOS,9.9,"Guancha, La",Tenerife,58.3
La Guancha,38018,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,5.3,"Guancha, La",Tenerife,58.3
La Guancha,38018,2022,2022,Pensiones,PENSIONES,23.4,"Guancha, La",Tenerife,58.3
La Guancha,38018,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.2,"Guancha, La",Tenerife,58.3
Guía de Isora,38019,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,63.1,Guía de Isora,Tenerife,63.1
Guía de Isora,38019,2022,2022,Otros ingresos,OTROS_INGRESOS,13.1,Guía de Isora,Tenerife,63.1
